method,date,status,sim_duration_s,makespan_hours,success_flag,failure_reason,released_tasks,completed_tasks,unfinished_tasks,source_lines,completed_lines,unfinished_lines,completion_ratio,rack_jobs,completed_rack_jobs,line_throughput_per_hour,planner_failures,replans,mean_planning_latency_ms,wall_clock_seconds,simulated_seconds_per_wall_second,safety_blocked_robot_substeps,empty_distance_m,loaded_distance_m,travel_distance_m,travel_metres_per_completed_line,rack_presentations,completed_order_lines_per_rack_presentation,min_completed_order_lines_per_rack_presentation,max_completed_order_lines_per_rack_presentation,lines_per_completed_rack_trip,skus_per_completed_rack_trip,rack_trips_per_1000_lines,mean_store_completion_seconds,p95_store_completion_seconds,amr_utilization,reservation_wait_seconds_per_line,safety_wait_seconds_per_line,replans_per_1000_lines,handling_service_seconds,translation_seconds,rotation_seconds,safety_blocking_seconds,reservation_path_wait_seconds,other_active_wait_seconds,idle_seconds,layout,slotting_strategy,run_wall_clock_seconds
current_heat,2023-01-03,completed,15610.499999913083,4.336249999975856,True,,97,97,0,3471,3471,0,1.0,1893,1893,800.461228024059,1987,9101,2.0876162480362677,1183.7992308439989,13.186779981926037,0,60716.00000001141,191311.99999987596,252027.99999988737,72.60962258711822,1893,1.8335974643423139,1,9,1.8335974643423139,1.6629688325409404,545.3759723422645,6819.889690714189,14472.439999929644,0.9027487108103777,73.32502160777163,0.0,2622.0109478536447,34263.29999999075,239649.0500005212,34819.899999990244,0,254511.15000057535,450.950000000001,60725.64999996757,map1_pure_affinity,pure_affinity,1183.8904205269992
current_heat,2023-02-03,completed,18419.849999872204,5.116624999964501,True,,81,81,0,4833,4833,0,1.0,2265,2265,944.5679525143099,2652,11683,2.140117252796698,1471.1326109990005,12.52086308341969,0,86702.00000000764,226743.99999982739,313445.99999983504,64.85536933578213,2265,2.133774834437086,1,15,2.133774834437086,1.9408388520971303,468.6530105524519,9424.081481453919,18010.49999987816,0.9424746944278755,64.07899855178363,0.0,2417.3391268363334,40996.499999984626,299140.4500007376,44030.19999998187,0,309693.80000077025,548.7500000000025,42384.29999998327,map1_pure_affinity,pure_affinity,1471.238543935
current_heat,2023-03-03,completed,23629.399999796395,6.563722222165665,True,,100,100,0,4582,4582,0,1.0,2504,2504,698.0795111235212,3877,14322,2.221953887393293,1873.475215632001,12.612603466881316,0,92962.00000000298,255299.99999979066,348261.99999979365,76.00654735918674,2504,1.8298722044728435,1,12,1.8298722044728435,1.7080670926517572,546.4862505456133,13037.815499936387,22380.114999814574,0.9265191350682513,98.24011348735476,0.0,3125.709297250109,45322.399999980684,331199.85000070574,48460.049999977826,0,450136.1999990595,605.1500000000032,69452.34999996434,map1_pure_affinity,pure_affinity,1873.5855478170015
