method,date,status,sim_duration_s,makespan_hours,success_flag,failure_reason,released_tasks,completed_tasks,unfinished_tasks,source_lines,completed_lines,unfinished_lines,completion_ratio,rack_jobs,completed_rack_jobs,line_throughput_per_hour,planner_failures,replans,mean_planning_latency_ms,wall_clock_seconds,simulated_seconds_per_wall_second,safety_blocked_robot_substeps,empty_distance_m,loaded_distance_m,travel_distance_m,travel_metres_per_completed_line,rack_presentations,completed_order_lines_per_rack_presentation,min_completed_order_lines_per_rack_presentation,max_completed_order_lines_per_rack_presentation,lines_per_completed_rack_trip,skus_per_completed_rack_trip,rack_trips_per_1000_lines,mean_store_completion_seconds,p95_store_completion_seconds,amr_utilization,reservation_wait_seconds_per_line,safety_wait_seconds_per_line,replans_per_1000_lines,handling_service_seconds,translation_seconds,rotation_seconds,safety_blocking_seconds,reservation_path_wait_seconds,other_active_wait_seconds,idle_seconds,layout,slotting_strategy,run_wall_clock_seconds
current_heat,2023-01-03,completed,20169.899999846737,5.602749999957427,True,,97,97,0,3471,3471,0,1.0,2585,2585,619.5172013790326,1831,8763,3.8112623984547382,2415.950034903,8.348641200543932,0,109225.99999998267,266203.99999975704,375429.9999997397,108.16191299329867,2585,1.3427466150870406,1,10,1.3427466150870406,1.2177949709864604,744.7421492365313,8706.391752547985,18214.729999875184,0.8969271662312691,81.97757130529638,0.0,2524.6326707000862,46788.499999979365,344995.5500005818,46673.89999997946,0,284544.15000068373,635.1500000000038,83158.74999997929,regenerated_check_traffic_zone_off,ctbsa,2416.06785786
current_heat,2023-02-03,completed,26494.849999754697,7.359680555487416,True,,81,81,0,4833,4833,0,1.0,3275,3275,656.6861107030644,3422,14282,3.6939788459992986,3104.8437949890003,8.533392257129174,0,160273.999999909,340411.9999997691,500685.9999996781,103.59735154141902,3275,1.4757251908396947,1,9,1.4757251908396947,1.3422900763358778,677.6329402027726,14237.101851761776,25297.399999772122,0.9493877112038813,87.71542520162237,0.0,2955.1003517483964,59277.49999996799,459961.09999891644,62176.999999965374,0,423928.6499994409,811.1500000000062,53638.59999997312,regenerated_check_traffic_zone_off,ctbsa,3105.0020216629996
current_heat,2023-03-03,completed,25885.74999976356,7.190486111045433,True,,100,100,0,4582,4582,0,1.0,3357,3357,637.2309089035731,2397,12413,3.9700753403864977,3278.391370698999,7.895869367861457,0,159635.9999999121,348131.9999997896,507767.9999997017,110.8179834132915,3357,1.364909145070003,1,6,1.364909145070003,1.2740542150729819,732.6494980357922,13214.89299992954,24237.627499787544,0.933850284430368,81.34134657358935,0.0,2709.079004801397,60761.69999996666,468866.6999987869,63771.89999996391,0,372706.05000018637,830.2500000000064,68493.39999996405,regenerated_check_traffic_zone_off,ctbsa,3278.5293257800004
