method,date,status,sim_duration_s,makespan_hours,success_flag,failure_reason,released_tasks,completed_tasks,unfinished_tasks,source_lines,completed_lines,unfinished_lines,completion_ratio,rack_jobs,completed_rack_jobs,line_throughput_per_hour,planner_failures,replans,mean_planning_latency_ms,wall_clock_seconds,simulated_seconds_per_wall_second,safety_blocked_robot_substeps,empty_distance_m,loaded_distance_m,travel_distance_m,travel_metres_per_completed_line,rack_presentations,completed_order_lines_per_rack_presentation,min_completed_order_lines_per_rack_presentation,max_completed_order_lines_per_rack_presentation,lines_per_completed_rack_trip,skus_per_completed_rack_trip,rack_trips_per_1000_lines,mean_store_completion_seconds,p95_store_completion_seconds,amr_utilization,reservation_wait_seconds_per_line,safety_wait_seconds_per_line,replans_per_1000_lines,handling_service_seconds,translation_seconds,rotation_seconds,safety_blocking_seconds,reservation_path_wait_seconds,other_active_wait_seconds,idle_seconds,layout,slotting_strategy,run_wall_clock_seconds
current_heat,2023-01-03,completed,15152.199999919752,4.208944444422153,True,,97,97,0,3471,3471,0,1.0,1921,1921,824.6723248152861,1552,8227,3.578414051915996,1942.71069653,7.799514372872949,0,57140.000000010215,182191.9999998907,239331.9999999009,68.95188706421807,1921,1.8068714211348256,1,11,1.8068714211348256,1.6387298282144716,553.4428118697782,6786.208247415899,14031.649999936053,0.8894457570581275,69.30456640752654,0.0,2370.210314030539,34770.09999999028,229703.85000048502,33595.54999999135,0,240556.1500005246,456.75000000000114,67005.59999996891,regenerated_check_affinity_zone_off,abc_affinity,1942.8274795089997
current_heat,2023-02-03,completed,18967.89999986423,5.268861111073397,True,,81,81,0,4833,4833,0,1.0,2279,2279,917.2760295090411,2401,12766,3.8025569132956316,2617.8072282269995,7.24572069147769,0,94298.00000000151,218767.99999984525,313065.9999998468,64.7767432236389,2279,2.1206669591926284,1,15,2.1206669591926284,1.928916191311979,471.54976205255537,9918.43024688215,18539.69999987046,0.9454595000060234,67.99934823106209,0.0,2641.4235464514795,41249.89999998438,302133.40000074677,44757.499999981206,0,328640.8500007231,553.6000000000023,41380.74999998413,regenerated_check_affinity_zone_off,abc_affinity,2617.961101875
current_heat,2023-03-03,completed,20858.549999836716,5.79404166662131,True,,100,100,0,4582,4582,0,1.0,2498,2498,790.8124006764193,2753,14012,3.756053289154706,2802.2670392130003,7.443455497979491,0,91922.00000000493,241383.99999981304,333305.999999818,72.74247053684374,2498,1.834267413931145,1,12,1.834267413931145,1.712169735788631,545.176778699258,10793.327499957462,19773.502499852504,0.913003121031019,75.77544740300198,0.0,3058.053251855085,45213.799999980794,321062.450000785,47674.549999978546,0,347203.10000055504,602.9500000000031,72585.14999996265,regenerated_check_affinity_zone_off,abc_affinity,2802.448776989
