layout,requested_days,comparison_days,completed_days,incomplete_days,failed_days,comparison_status,mean_daily_throughput_lines_per_hour,median_daily_throughput_lines_per_hour,stddev_daily_throughput_lines_per_hour,weighted_throughput_lines_per_hour,total_completed_lines_comparison_days,mean_daily_completed_order_lines_per_rack_presentation,mean_daily_makespan_hours,mean_daily_travel_metres_per_completed_line,mean_daily_lines_per_completed_rack_trip,mean_daily_skus_per_completed_rack_trip,mean_daily_rack_trips_per_1000_lines,mean_daily_mean_store_completion_seconds,mean_daily_p95_store_completion_seconds,mean_daily_amr_utilization,mean_daily_reservation_wait_seconds_per_line,mean_daily_safety_wait_seconds_per_line,mean_daily_replans_per_1000_lines,mean_daily_empty_distance_m,mean_daily_loaded_distance_m,min_completed_order_lines_per_rack_presentation,max_completed_order_lines_per_rack_presentation,baseline_layout,throughput_improvement_percent,slotting_strategy
map1_basic,3,3,3,0,0,complete,804.4278186130783,784.7010132786254,41.461951724644436,806.3213076516156,12886,1.8666973673284277,5.3270740740355125,71.62277278733191,1.8666973673284277,1.7105848375809796,537.8676734423088,9484.642115237843,18114.00416654332,0.9207231197566814,76.1952455021943,0.0,2810.0370645802936,87059.33333333423,220306.66666650883,1,12,map1_basic,0.0,basic
map1_pure_affinity,3,3,3,0,0,complete,814.3695638872967,800.461228024059,123.83141479317167,804.5404289879258,12886,1.9324148344174144,5.3388657407020075,71.1571797606957,1.9324148344174144,1.770624925763276,520.17174448011,9760.595557368164,18287.684999874127,0.9239141801021682,78.54804454897001,0.0,2721.6864573133626,80126.666666674,224451.99999983134,1,15,map1_basic,1.2358778555618732,pure_affinity
map1_traffic_zone_balance_off,3,3,3,0,0,complete,691.5635350205239,690.8856679255317,32.09060117734991,691.1658439907127,12886,1.3971601823415558,6.214620370318893,107.34732369279877,1.3971601823415558,1.2804725104709198,716.499429112795,10750.665879189462,20661.379166506253,0.9261156700507895,67.90228034370085,0.0,2305.1141352014024,145183.99999993146,316093.33333310863,1,12,map1_basic,-14.030380474303438,ctbsa
map1_traffic_zone_balance_on,3,3,3,0,0,complete,719.8688449807622,728.5853372620054,21.37368339028456,718.262035527458,12886,1.3966207613045016,5.980175925877861,110.6316714730394,1.3966207613045016,1.2798416228198968,716.9407064427614,10451.493426115676,19875.84166651768,0.9205344809362782,58.019390338840836,0.0,1837.5296618805476,146604.66666659407,328974.6666664718,1,9,map1_basic,-10.511691872877426,ctbsa
