robot,handling_service_seconds,translation_seconds,rotation_seconds,safety_blocking_seconds,reservation_path_wait_seconds,other_active_wait_seconds,idle_seconds,empty_distance_m,loaded_distance_m,busy_seconds,utilization
AMR_01,1411.7999999992637,11196.399999977317,1431.9499999992454,0,6923.500000016422,19.30000000000014,1338.4999999993304,3993.999999997796,8459.999999993126,20982.94999999225,0.9400352575735784
AMR_02,1429.8999999992473,11020.89999997987,1387.6999999992856,0,6644.550000015407,19.200000000000138,1819.1999999988932,3083.999999999118,9199.999999996926,20502.24999999381,0.9184999182473962
AMR_03,1393.6999999992802,10969.099999980624,1385.2499999992879,0,6277.400000014071,18.950000000000134,2277.049999999518,3559.999999998394,8651.99999999374,20044.399999993268,0.8979882579383961
AMR_04,1393.6999999992802,10979.69999998047,1429.5499999992476,0,6765.850000015848,18.900000000000134,1733.749999998971,3839.9999999981023,8295.999999992364,20587.69999999485,0.9223280745724443
AMR_05,1393.6999999992802,11084.749999978942,1424.3499999992523,0,6847.500000016145,18.950000000000134,1552.199999999136,3747.9999999981233,8515.999999993834,20769.249999993623,0.9304615067643617
AMR_06,1357.499999999313,10947.849999980934,1351.2999999993187,0,6882.700000016273,18.400000000000126,1763.6999999989437,3639.999999998323,8603.99999999331,20557.749999995838,0.9209863158605658
AMR_07,1339.3999999993296,10857.599999982247,1399.1499999992752,0,6526.900000014979,18.150000000000123,2180.249999999166,3941.999999997759,8027.999999991933,20141.199999995835,0.9023248937753766
AMR_08,1429.8999999992473,11103.34999997867,1400.2499999992742,0,6989.850000016663,19.25000000000014,1378.8499999992937,3173.9999999989086,9199.99999999723,20942.599999993854,0.9382275793090066
AMR_09,1447.9999999992308,11148.699999978011,1433.7999999992437,0,6454.350000014715,19.40000000000014,1817.199999998895,3633.9999999981965,8811.999999995382,20504.249999991203,0.9185895181612641
AMR_10,1411.7999999992637,11045.299999979516,1396.7499999992774,0,6895.6500000163205,19.100000000000136,1552.8499999991354,3637.9999999980814,8567.999999993834,20768.599999994378,0.9304323867923504
AMR_11,1466.0999999992143,11089.899999978867,1375.8999999992964,0,6927.350000016436,19.750000000000146,1442.4499999992358,3075.999999999242,9259.999999998494,20878.99999999381,0.9353783020442873
AMR_12,1357.499999999313,11310.799999975652,1447.4499999992313,0,6508.700000014913,18.450000000000127,1678.549999999021,3849.9999999980005,8791.999999995214,20642.89999998911,0.9248010321981682
AMR_13,1303.1999999993625,10615.649999985768,1228.0999999994308,0,7100.1500000170645,17.800000000000118,2056.549999998716,3129.999999998927,8775.999999994714,20264.900000001624,0.9078666484555973
AMR_14,1610.8999999990826,12294.599999961336,1527.7499999991583,0,5699.300000011968,21.600000000000172,1167.299999999486,4031.9999999975107,9852.000000000722,21154.149999971545,0.9477050102097518
AMR_15,1484.1999999991979,10923.149999981293,1402.5499999992721,0,6589.900000015208,19.900000000000148,1901.749999998818,3443.9999999984484,8635.999999994076,20419.699999994973,0.9148016817977246
AMR_16,1411.7999999992637,10328.449999989947,1399.349999999275,0,7309.650000017827,19.25000000000014,1852.9499999988625,3475.9999999986057,7763.999999992506,20468.500000006312,0.9169879196994623
AMR_17,1411.7999999992637,10868.39999998209,1374.5499999992976,0,6907.950000016365,18.950000000000134,1739.7999999989654,3419.999999998414,8579.999999994188,20581.64999999702,0.9220570348327373
AMR_18,1339.3999999993296,10916.249999981394,1389.7999999992837,0,6598.450000015239,18.200000000000124,2059.349999998726,3741.999999998066,8475.999999992822,20262.099999995247,0.9077412085757328
AMR_19,1466.0999999992143,11112.649999978536,1389.449999999284,0,6324.750000014244,19.750000000000146,2008.7499999987208,3393.9999999986176,9039.999999995434,20312.699999991277,0.9100080863993709
