job_id,task_id,store_id,robot,rack_id,workstation,covered_skus,covered_lines,dispatch_time_s,completion_time_s,station_release_time_s,to_pickup_time_s,pickup_wait_time_s,to_dropoff_entry_time_s,to_workstation_time_s,dropoff_wait_time_s,to_ingestor_exit_time_s,to_return_time_s,return_wait_time_s,idle_time_s,handling_service_seconds,translation_seconds,rotation_seconds,safety_blocking_seconds,reservation_path_wait_seconds,other_active_wait_seconds,idle_seconds,empty_distance_m,loaded_distance_m
J000001,2023-01-03/AMPP,AMPP,AMR_34,G12_9,WS_13_20,"[""110519"", ""138355""]",3,0.05,103.39999999999627,68.39999999999826,0.05,3.399999999999996,7.4499999999999815,58.299999999998825,58.34999999999882,68.34999999999826,68.39999999999826,99.3499999999965,103.39999999999627,18.100000000000122,63.949999999998504,9.5,0,11.55000000000003,0.25,0,2.0,64.00000000000054
J000002,2023-01-03/BDBU,BDBU,AMR_03,G38_13,WS_19_20,"[""110465"", ""110603"", ""132437""]",3,0.05,218.90000000001552,155.40000000000109,0.05,38.54999999999995,42.59999999999972,145.2999999999988,145.3499999999988,155.35000000000107,155.40000000000109,214.8500000000146,218.90000000001552,18.100000000000122,132.5499999999959,15.250000000000082,0,52.69999999999914,0.25,0,42.00000000000004,116.00000000000036
J000003,2023-01-03/APUR,APUR,AMR_02,G23_14,WS_25_20,"[""112432""]",1,0.05,104.09999999999623,75.09999999999788,0.05,28.100000000000264,32.15000000000031,64.99999999999845,65.04999999999845,75.04999999999788,75.09999999999788,100.04999999999646,104.09999999999623,18.100000000000122,65.14999999999844,13.350000000000055,0,7.199999999999982,0.25,0,18.0,48.00000000000004
J000004,2023-01-03/BDPP,BDPP,AMR_09,G3_14,WS_2_20,"[""110153""]",1,0.05,83.94999999999737,52.89999999999913,0.05,17.800000000000118,21.850000000000176,42.799999999999706,42.8499999999997,52.849999999999135,52.89999999999913,79.8999999999976,83.94999999999737,18.100000000000122,53.79999999999908,9.55,0,2.2,0.25,0,16.0,40.000000000000014
J000005,2023-01-03/BDRW,BDRW,AMR_40,G39_15,WS_30_20,"[""110310""]",1,0.05,127.19999999999492,90.599999999997,0.05,46.349999999999504,50.399999999999274,80.49999999999757,80.54999999999757,90.549999999997,90.599999999997,123.14999999999515,127.19999999999492,18.100000000000122,95.8499999999967,10.500000000000014,0,2.4499999999999993,0.25,0,58.0,60.0
J000006,2023-01-03/BKIN,BKIN,AMR_39,G14_14,WS_8_20,"[""110569""]",1,0.05,102.64999999999631,57.599999999998865,0.05,4.94999999999999,8.999999999999993,47.49999999999944,47.549999999999436,57.54999999999887,57.599999999998865,98.59999999999654,102.64999999999631,18.100000000000122,61.54999999999864,11.450000000000028,0,11.250000000000025,0.25,0,4.0,56.00000000000034
J000007,2023-01-03/AMPP,AMPP,AMR_04,G20_15,WS_13_20,"[""107303""]",1,0.05,136.44999999999678,102.59999999999631,0.05,18.300000000000125,22.350000000000183,92.49999999999689,92.54999999999688,102.54999999999632,102.59999999999631,132.39999999999586,136.44999999999678,18.100000000000122,67.5999999999983,10.500000000000014,0,39.94999999999987,0.25,0,16.0,52.00000000000031
J000008,2023-01-03/BDBU,BDBU,AMR_01,G24_13,WS_19_20,"[""101067""]",1,0.05,161.2000000000024,104.19999999999622,0.05,40.79999999999982,44.84999999999959,94.0999999999968,94.1499999999968,104.14999999999623,104.19999999999622,157.15000000000148,161.2000000000024,18.100000000000122,81.54999999999751,13.350000000000055,0,47.899999999999416,0.25,0,24.0,60.00000000000013
J000009,2023-01-03/APUR,APUR,AMR_05,G26_12,WS_25_20,"[""121833""]",1,0.05,149.49999999999974,91.04999999999697,0.05,32.85000000000027,36.90000000000004,80.94999999999754,80.99999999999754,90.99999999999697,91.04999999999697,145.44999999999882,149.49999999999974,18.100000000000122,77.09999999999776,13.350000000000055,0,40.64999999999983,0.25,0,22.0,52.00000000000023
J000010,2023-01-03/BDPP,BDPP,AMR_15,G3_8,WS_2_20,"[""107398""]",1,0.05,109.19999999999594,70.14999999999816,0.05,20.450000000000156,24.500000000000213,60.049999999998725,60.09999999999872,70.09999999999816,70.14999999999816,105.14999999999617,109.19999999999594,18.100000000000122,74.04999999999794,9.55,0,7.199999999999982,0.25,0,20.000000000000018,64.00000000000061
