strategy,rack_id,workload_expected_visits,distinct_sku_count,inventory_load_count
Basic,G30_6,190.0,7,12
Basic,G30_7,285.0,11,12
Basic,G30_8,816.0,12,12
Basic,G30_9,2786.0,12,12
Basic,G32_10,2817.0,12,12
Basic,G32_12,43.0,12,12
Basic,G32_13,1045.0,12,12
Basic,G32_14,1955.0,12,12
Basic,G32_15,3170.0,12,12
Basic,G32_5,129.0,1,12
Basic,G32_6,73.0,3,12
Basic,G32_7,112.0,4,12
Basic,G32_8,220.0,10,12
Basic,G32_9,625.0,12,12
Basic,G33_12,1310.0,12,12
Basic,G33_13,30.0,12,12
Basic,G33_14,996.0,12,12
Basic,G33_15,1775.0,12,12
Basic,G33_6,129.0,1,12
Basic,G33_7,72.0,3,12
Basic,G33_8,112.0,4,12
Basic,G35_10,112.0,4,12
Basic,G35_12,567.0,12,12
Basic,G35_13,2514.0,12,12
Basic,G35_14,1211.0,12,12
Basic,G35_15,16.0,12,12
Basic,G35_8,128.0,1,12
Basic,G35_9,71.0,3,12
Basic,G36_10,81.0,2,12
Basic,G36_12,220.0,10,12
Basic,G36_13,765.0,12,12
Basic,G36_14,1476.0,12,12
Basic,G36_15,1105.0,12,12
Basic,G36_9,63.0,1,6
Basic,G38_12,80.0,2,12
Basic,G38_13,111.0,4,12
Basic,G38_14,283.0,10,12
Basic,G38_15,463.0,12,12
Basic,G39_13,80.0,2,12
Basic,G39_14,113.0,4,12
Basic,G39_15,277.0,10,12
Basic,G3_10,1989.0,12,12
Basic,G3_12,2918.0,12,12
Basic,G3_13,3912.0,12,12
Basic,G3_14,5221.0,12,12
Basic,G3_15,6494.0,12,12
Basic,G3_4,42.0,2,3
Basic,G3_5,711.0,4,12
Basic,G3_6,1529.0,11,12
Basic,G3_7,3748.0,12,12
Basic,G3_8,3293.0,12,12
Basic,G3_9,636.0,12,12
Basic,G5_10,2712.0,12,12
Basic,G5_12,193.0,12,12
Basic,G5_13,1194.0,12,12
Basic,G5_14,2357.0,12,12
Basic,G5_15,3038.0,12,12
Basic,G5_5,129.0,1,12
Basic,G5_6,110.0,4,12
Basic,G5_7,148.0,6,12
Basic,G5_8,252.0,11,12
Basic,G5_9,762.0,12,12
Basic,G6_10,531.0,12,12
Basic,G6_12,927.0,12,12
Basic,G6_13,1862.0,12,12
Basic,G6_14,2862.0,12,12
Basic,G6_15,3835.0,12,12
Basic,G6_5,81.0,2,12
Basic,G6_6,112.0,4,12
Basic,G6_7,219.0,9,12
Basic,G6_8,760.0,12,12
Basic,G6_9,638.0,12,12
Basic,G8_12,2107.0,12,12
Basic,G8_13,3228.0,12,12
Basic,G8_14,4121.0,12,12
Basic,G8_15,4683.0,12,12
Basic,G8_4,111.0,4,12
Basic,G8_5,146.0,5,12
Basic,G8_6,281.0,11,12
Basic,G8_7,371.0,12,12
Basic,G8_8,1414.0,12,12
Basic,G9_10,890.0,12,12
Basic,G9_12,2914.0,12,12
Basic,G9_13,3618.0,12,12
Basic,G9_14,4506.0,12,12
Basic,G9_15,5254.0,12,12
Basic,G9_2,3875.0,12,12
Basic,G9_4,111.0,4,12
Basic,G9_5,183.0,9,12
Basic,G9_6,849.0,12,12
Basic,G9_7,441.0,12,12
Basic,G9_8,3656.0,12,12
Basic,G9_9,12.0,12,12
Pure affinity,G0_1,111.0,4,12
Pure affinity,G0_10,282.0,10,12
Pure affinity,G0_11,178.0,9,12
Pure affinity,G0_12,247.0,8,12
Pure affinity,G0_13,233.0,7,12
Pure affinity,G0_14,1085.0,12,12
Pure affinity,G0_15,114.0,4,12
Pure affinity,G0_2,112.0,4,12
Pure affinity,G0_3,112.0,4,12
Pure affinity,G0_4,114.0,5,12
Pure affinity,G0_5,208.0,7,12
Pure affinity,G0_6,153.0,8,12
Pure affinity,G0_7,604.0,12,12
Pure affinity,G0_8,222.0,10,12
Pure affinity,G0_9,283.0,10,12
Pure affinity,G11_1,890.0,12,12
Pure affinity,G11_10,4613.0,12,12
Pure affinity,G11_2,3820.0,12,12
Pure affinity,G11_4,4453.0,12,12
Pure affinity,G11_5,5101.0,12,12
Pure affinity,G11_6,1970.0,12,12
Pure affinity,G11_7,2646.0,12,12
Pure affinity,G11_8,4205.0,12,12
Pure affinity,G11_9,4484.0,12,12
Pure affinity,G12_1,1715.0,12,12
Pure affinity,G12_10,5175.0,12,12
Pure affinity,G12_15,2761.0,12,12
Pure affinity,G12_2,3839.0,12,12
Pure affinity,G12_4,4096.0,12,12
Pure affinity,G12_5,5258.0,12,12
Pure affinity,G12_6,2140.0,12,12
Pure affinity,G12_7,3502.0,12,12
Pure affinity,G12_8,4323.0,12,12
Pure affinity,G12_9,5352.0,12,12
Pure affinity,G14_1,1591.0,12,12
Pure affinity,G14_10,5755.0,12,12
Pure affinity,G14_12,6894.0,12,12
Pure affinity,G14_13,6197.0,12,12
Pure affinity,G14_14,6462.0,12,12
Pure affinity,G14_15,6266.0,12,12
Pure affinity,G14_2,1010.0,12,12
Pure affinity,G14_4,4893.0,12,12
Pure affinity,G14_5,1730.0,12,12
Pure affinity,G14_6,3118.0,12,12
Pure affinity,G14_7,4144.0,12,12
Pure affinity,G14_8,5251.0,12,12
Pure affinity,G14_9,4915.0,12,12
Pure affinity,G15_1,2763.0,12,12
Pure affinity,G15_10,6065.0,12,12
Pure affinity,G15_12,6884.0,12,12
Pure affinity,G15_13,6463.0,12,12
Pure affinity,G15_14,6744.0,12,12
Pure affinity,G15_15,6582.0,12,12
Pure affinity,G15_2,3577.0,12,12
Pure affinity,G15_4,4784.0,12,12
Pure affinity,G15_5,2000.0,12,12
Pure affinity,G15_6,3009.0,12,12
Pure affinity,G15_7,4519.0,12,12
Pure affinity,G15_8,5358.0,12,12
Pure affinity,G15_9,6134.0,12,12
Pure affinity,G17_1,877.0,12,12
Pure affinity,G17_10,5586.0,12,12
Pure affinity,G17_12,6473.0,12,12
Pure affinity,G17_13,5933.0,12,12
Pure affinity,G17_14,6030.0,12,12
Pure affinity,G17_15,5959.0,12,12
Pure affinity,G17_2,2590.0,12,12
Pure affinity,G17_4,3066.0,12,12
Pure affinity,G17_5,1225.0,12,12
