method,date,status,sim_duration_s,makespan_hours,success_flag,failure_reason,released_tasks,completed_tasks,unfinished_tasks,source_lines,completed_lines,unfinished_lines,completion_ratio,rack_jobs,completed_rack_jobs,line_throughput_per_hour,planner_failures,replans,mean_planning_latency_ms,wall_clock_seconds,simulated_seconds_per_wall_second,safety_blocked_robot_substeps,empty_distance_m,loaded_distance_m,travel_distance_m,travel_metres_per_completed_line,rack_presentations,completed_order_lines_per_rack_presentation,min_completed_order_lines_per_rack_presentation,max_completed_order_lines_per_rack_presentation,lines_per_completed_rack_trip,skus_per_completed_rack_trip,rack_trips_per_1000_lines,mean_store_completion_seconds,p95_store_completion_seconds,amr_utilization,reservation_wait_seconds_per_line,safety_wait_seconds_per_line,replans_per_1000_lines,handling_service_seconds,translation_seconds,rotation_seconds,safety_blocking_seconds,reservation_path_wait_seconds,other_active_wait_seconds,idle_seconds,layout,slotting_strategy,run_wall_clock_seconds
current_heat,2023-01-03,completed,16767.549999896248,4.657652777748957,True,,97,97,0,3471,3471,0,1.0,2451,2451,745.225152158623,970,5426,4.077888831753847,1983.0323504590015,8.455510065690635,0,97871.99999999782,267479.99999974953,365351.9999997474,105.25842696621936,2451,1.416156670746634,1,7,1.416156670746634,1.2843737250101999,706.1365600691444,7215.217525760968,15209.819999918913,0.8991567790237188,53.436315183037784,0.0,1563.2382598674733,44363.09999998157,330243.65000074555,42386.49999998337,0,185477.45000032414,595.5500000000031,67635.74999996444,affinity_zone_on_max_same_sku_6,abc_affinity,1983.198424385002
current_heat,2023-02-03,completed,21209.099999831615,5.891416666619893,True,,81,81,0,4833,4833,0,1.0,3089,3089,820.3459835701719,1586,8277,4.719052293469545,2956.770324568999,7.1730630626249985,0,150431.9999999213,340083.99999975105,490515.99999967235,101.4930684874141,3089,1.5645840077695048,1,9,1.5645840077695048,1.4231142764648754,639.1475274156838,10836.570987608258,20580.69999984076,0.9660882592922326,54.15235878348883,0.0,1712.60086902545,55910.899999971065,444189.899999146,57016.74999997005,0,261718.35000060152,758.6000000000054,28769.49999999519,affinity_zone_on_max_same_sku_6,abc_affinity,2957.0158194920004
current_heat,2023-03-03,completed,21323.999999829943,5.923333333286095,True,,100,100,0,4582,4582,0,1.0,3213,3213,773.5509285374014,1440,7580,4.101532129313165,2550.4071975780025,8.361017809266029,0,146755.9999999284,348103.9999997841,494859.9999997125,108.00087298116816,3213,1.4260815437286025,1,8,1.4260815437286025,1.3311546840958606,701.222173723265,10785.668999956164,19728.98999985315,0.9434737267937338,52.61349847239773,0.0,1654.2994325621999,58155.29999996901,447335.54999910033,57392.3499999697,0,241075.0500005264,787.1000000000059,48214.64999997806,affinity_zone_on_max_same_sku_6,abc_affinity,2550.5555292550016
