job_id,task_id,store_id,robot,rack_id,workstation,covered_skus,covered_lines,dispatch_time_s,completion_time_s,station_release_time_s,to_pickup_time_s,pickup_wait_time_s,to_dropoff_entry_time_s,to_workstation_time_s,dropoff_wait_time_s,to_ingestor_exit_time_s,to_return_time_s,return_wait_time_s,idle_time_s,handling_service_seconds,translation_seconds,rotation_seconds,safety_blocking_seconds,reservation_path_wait_seconds,other_active_wait_seconds,idle_seconds,empty_distance_m,loaded_distance_m
J000001,2023-03-03/AMPP,AMPP,AMR_01,G17_13,WS_13_20,"[""101076"", ""101080"", ""109989"", ""110186"", ""110512"", ""111342"", ""112284""]",9,0.05,164.90000000000325,100.39999999999644,0.05,16.350000000000097,20.400000000000155,90.29999999999701,90.34999999999701,100.34999999999644,100.39999999999644,160.85000000000232,164.90000000000325,18.100000000000122,64.79999999999846,13.400000000000055,0,68.29999999999826,0.25,0,10.0,48.00000000000024
J000002,2023-03-03/BAMP,BAMP,AMR_40,G15_15,WS_19_20,"[""110225"", ""110604"", ""123094"", ""124211"", ""134029""]",6,0.05,88.44999999999712,59.84999999999874,0.05,15.350000000000083,19.40000000000014,49.74999999999931,49.79999999999931,59.79999999999874,59.84999999999874,84.39999999999735,88.44999999999712,18.100000000000122,55.499999999998984,10.450000000000014,0,4.099999999999993,0.25,0,10.0,44.00000000000003
J000003,2023-03-03/APUR,APUR,AMR_34,G11_9,WS_25_20,"[""110569""]",2,0.05,265.200000000026,114.94999999999561,0.05,0.05,4.099999999999993,104.84999999999619,104.89999999999618,114.89999999999561,114.94999999999561,261.1500000000251,265.200000000026,18.100000000000122,107.69999999999602,13.350000000000055,0,125.799999999995,0.2,0,0.0,120.00000000000045
J000004,2023-03-03/ALMA,ALMA,AMR_15,G8_6,WS_2_20,"[""110485"", ""110569""]",2,0.05,183.90000000000757,114.69999999999563,0.05,21.950000000000177,26.000000000000234,104.5999999999962,104.6499999999962,114.64999999999563,114.69999999999563,179.85000000000664,183.90000000000757,18.100000000000122,101.84999999999636,11.450000000000028,0,52.19999999999917,0.25,0,22.000000000000007,84.00000000000091
J000005,2023-03-03/BANT,BANT,AMR_39,G14_14,WS_30_20,"[""101330"", ""112086"", ""121833"", ""123272""]",4,0.05,239.75000000002026,138.7999999999973,0.05,4.94999999999999,8.999999999999993,128.69999999999501,128.74999999999503,138.7499999999973,138.7999999999973,235.70000000001934,239.75000000002026,18.100000000000122,108.44999999999598,15.250000000000082,0,97.6499999999966,0.25,0,4.0,108.0
J000006,2023-03-03/AMPP,AMPP,AMR_02,G17_14,WS_13_20,"[""110227"", ""110285"", ""110380"", ""111261"", ""124403"", ""134027""]",7,0.05,229.05000000001783,66.19999999999838,0.05,24.100000000000207,28.150000000000265,56.09999999999895,56.14999999999895,66.14999999999839,66.19999999999838,225.0000000000169,229.05000000001783,18.100000000000122,69.3999999999982,15.250000000000082,0,125.99999999999498,0.25,0,14.0,48.00000000000024
J000007,2023-03-03/BAMP,BAMP,AMR_03,G15_13,WS_19_20,"[""110336"", ""111237"", ""111307"", ""112324""]",5,0.05,171.80000000000481,110.84999999999584,0.05,28.950000000000276,33.00000000000026,100.74999999999642,100.79999999999642,110.79999999999585,110.84999999999584,167.7500000000039,171.80000000000481,18.100000000000122,76.4499999999978,13.350000000000055,0,63.59999999999852,0.25,0,16.0,52.00000000000004
J000008,2023-03-03/ALMA,ALMA,AMR_31,G11_6,WS_2_20,"[""107121"", ""107304""]",2,0.05,115.94999999999555,63.749999999998515,0.05,0.05,4.099999999999993,53.64999999999909,53.699999999999086,63.69999999999852,63.749999999998515,111.89999999999579,115.94999999999555,18.100000000000122,83.79999999999738,9.55,0,4.249999999999993,0.2,0,0.0,96.00000000000142
J000009,2023-03-03/BANT,BANT,AMR_04,G18_15,WS_30_20,"[""110519"", ""111272"", ""112285""]",3,0.05,123.19999999999514,81.54999999999751,0.05,29.85000000000029,33.90000000000021,71.44999999999808,71.49999999999808,81.49999999999751,81.54999999999751,119.14999999999537,123.19999999999514,18.100000000000122,80.24999999999758,9.5,0,15.050000000000079,0.25,0,16.0,76.00000000000003
J000010,2023-03-03/AMPP,AMPP,AMR_09,G5_9,WS_13_20,"[""107238"", ""110166"", ""110231"", ""111376"", ""124704"", ""134029""]",8,0.05,195.9000000000103,151.5500000000002,0.05,16.400000000000098,20.450000000000156,141.4499999999979,141.49999999999793,151.5000000000002,151.5500000000002,191.85000000000937,195.9000000000103,18.100000000000122,103.39999999999627,13.350000000000055,0,60.749999999998685,0.25,0,14.0,92.0000000000012
J000011,2023-03-03/BAMP,BAMP,AMR_30,G11_5,WS_19_20,"[""101075"", ""110299"", ""110595"", ""123305""]",6,0.05,197.40000000001064,93.79999999999681,0.05,0.05,4.099999999999993,83.69999999999739,83.74999999999739,93.74999999999682,93.79999999999681,193.35000000000971,197.40000000001064,18.100000000000122,113.84999999999567,15.250000000000082,0,49.9499999999993,0.2,0,0.0,132.00000000000227
