sku,pick_frequency,total_quantity_ea,active_days,cumulative_frequency_share,velocity_class,req_max_item_length,req_max_item_width,req_max_item_height,req_max_item_weight,physical_data_status,physical_storage_class
113122,102,5200.0,73,0.988563,C,26.5,4.0,10.5,,MISSING,UNVERIFIED_OVERSIZE
132418,101,650.0,6,0.988666,C,,,,,MISSING,UNVERIFIED_OVERSIZE
110177,100,372.0,42,0.988768,C,13.7,2.0,5.5,,MISSING,UNVERIFIED_OVERSIZE
110258,100,765.0,57,0.98887,C,9.0,6.8,4.2,,MISSING,UNVERIFIED_OVERSIZE
111214,100,633.0,52,0.988971,C,6.4,13.3,6.3,65.0,COMPLETE,STANDARD
112269,99,11800.0,38,0.989072,C,16.7,9.3,16.0,,MISSING,UNVERIFIED_OVERSIZE
119948,99,130.0,76,0.989173,C,4.0,10.2,3.7,25.0,COMPLETE,STANDARD
131591,99,538.0,20,0.989274,C,,,,,MISSING,UNVERIFIED_OVERSIZE
107154,98,167.0,45,0.989373,C,3.5,13.3,5.3,20.0,COMPLETE,STANDARD
110598,98,1800.0,59,0.989473,C,4.5,9.3,4.7,31.0,COMPLETE,STANDARD
140839,98,800.0,40,0.989573,C,,,,,MISSING,UNVERIFIED_OVERSIZE
101072,96,189.0,74,0.98967,C,5.8,13.1,6.7,50.0,COMPLETE,STANDARD
101077,96,133.0,72,0.989768,C,3.6,12.8,4.8,45.0,COMPLETE,STANDARD
111832,96,3780.0,69,0.989866,C,3.6,3.6,7.9,30.0,COMPLETE,STANDARD
107450,95,344.0,71,0.989962,C,6.3,10.5,6.5,25.0,COMPLETE,STANDARD
107107,94,372.0,71,0.990058,C,4.2,13.3,7.5,,MISSING,UNVERIFIED_OVERSIZE
113119,93,146.0,67,0.990153,C,7.1,13.3,6.3,120.0,COMPLETE,STANDARD
107180,92,141.0,67,0.990246,C,,,,,MISSING,UNVERIFIED_OVERSIZE
107416,92,422.0,65,0.99034,C,5.0,5.0,11.8,,MISSING,UNVERIFIED_OVERSIZE
110434,91,1230.0,44,0.990432,C,9.0,3.8,4.9,,MISSING,UNVERIFIED_OVERSIZE
115130,91,1330.0,67,0.990525,C,7.8,17.3,4.9,65.0,COMPLETE,OVERSIZE
110424,89,1080.0,52,0.990615,C,11.0,3.5,5.5,,MISSING,UNVERIFIED_OVERSIZE
110217,88,655.0,8,0.990705,C,2.8,2.8,5.0,,MISSING,UNVERIFIED_OVERSIZE
112348,88,267.0,35,0.990794,C,4.0,12.5,2.7,15.0,COMPLETE,STANDARD
123063,88,1060.0,47,0.990884,C,,,,,MISSING,UNVERIFIED_OVERSIZE
107437,87,143.0,57,0.990972,C,3.5,12.6,7.2,30.0,COMPLETE,STANDARD
111331,87,564.0,58,0.991061,C,9.3,3.2,6.3,,MISSING,UNVERIFIED_OVERSIZE
122697,87,2030.0,69,0.991149,C,,,,,MISSING,UNVERIFIED_OVERSIZE
140015,87,1330.0,29,0.991238,C,,,,,MISSING,UNVERIFIED_OVERSIZE
113146,86,129.0,52,0.991325,C,,,,,MISSING,UNVERIFIED_OVERSIZE
113231,85,158.0,58,0.991412,C,13.0,3.0,7.2,,MISSING,UNVERIFIED_OVERSIZE
117011,85,1085.0,19,0.991498,C,,,,,MISSING,UNVERIFIED_OVERSIZE
141276,85,210.0,35,0.991585,C,5.2,3.0,11.8,,MISSING,UNVERIFIED_OVERSIZE
