workstation,service_seconds,utilization,completed_lines,completed_rack_jobs
WS_2_20,5030.000000009533,0.21890646862313176,713,503
WS_8_20,5490.000000011207,0.23892574805987454,836,549
WS_13_20,5290.000000010479,0.23022171352216028,850,529
WS_19_20,4790.00000000866,0.20846162717787467,789,479
WS_25_20,5080.000000009715,0.22108247725756033,797,508
WS_30_20,5180.000000010079,0.22543449452641745,848,518
