sku,observation_start,observation_end,observation_days,total_demand_ea,average_daily_demand_ea,minimum_stock_days,minimum_stock_ea,buffer_stock_days,minimum_buffer_stock_ea,total_required_ea,attribute_combination,units_per_slot,slots_per_unit,occupied_level_span,occupied_horizontal_slot_span,required_slots,required_racks,rack_calculation_status
117140,2023-01-03,2023-07-31,210,20000.0,95.2381,2,191,1,95,286,chilled=F · oversize=F,69,1,1,1,5,1,CALCULATED
117146,2023-01-03,2023-07-31,210,18.0,0.0857,2,1,1,0,1,chilled=F · oversize=F,415,1,1,1,1,1,CALCULATED
117402,2023-01-03,2023-07-31,210,249.0,1.1857,2,3,1,1,4,chilled=F · oversize=F,500,1,1,1,1,1,CALCULATED
117415,2023-01-03,2023-07-31,210,6512.0,31.0095,2,63,1,31,94,chilled=F · oversize=F,415,1,1,1,1,1,CALCULATED
117418,2023-01-03,2023-07-31,210,184.0,0.8762,2,2,1,1,3,chilled=T · oversize=F,415,1,1,1,1,1,CALCULATED
117422,2023-01-03,2023-07-31,210,1182.0,5.6286,2,12,1,5,17,chilled=F · oversize=F,415,1,1,1,1,1,CALCULATED
117427,2023-01-03,2023-07-31,210,794.0,3.781,2,8,1,4,12,chilled=F · oversize=F,415,1,1,1,1,1,CALCULATED
117429,2023-01-03,2023-07-31,210,380.0,1.8095,2,4,1,2,6,chilled=T · oversize=F,833,1,1,1,1,1,CALCULATED
117431,2023-01-03,2023-07-31,210,6294.0,29.9714,2,60,1,30,90,chilled=F · oversize=F,250,1,1,1,1,1,CALCULATED
117432,2023-01-03,2023-07-31,210,8445.0,40.2143,2,81,1,40,121,chilled=F · oversize=F,404,1,1,1,1,1,CALCULATED
117442,2023-01-03,2023-07-31,210,428.0,2.0381,2,5,1,2,7,chilled=F · oversize=F,45,1,1,1,1,1,CALCULATED
118300,2023-01-03,2023-07-31,210,399.0,1.9,2,4,1,2,6,chilled=F · oversize=F,415,1,1,1,1,1,CALCULATED
118396,2023-01-03,2023-07-31,210,1989.0,9.4714,2,19,1,10,29,chilled=F · oversize=F,227,1,1,1,1,1,CALCULATED
118430,2023-01-03,2023-07-31,210,3417.0,16.2714,2,33,1,16,49,chilled=F · oversize=F,415,1,1,1,1,1,CALCULATED
118459,2023-01-03,2023-07-31,210,2304.0,10.9714,2,22,1,11,33,chilled=T · oversize=F,227,1,1,1,1,1,CALCULATED
118468,2023-01-03,2023-07-31,210,12.0,0.0571,2,1,1,0,1,chilled=F · oversize=F,415,1,1,1,1,1,CALCULATED
118475,2023-01-03,2023-07-31,210,33350.0,158.8095,2,318,1,159,477,chilled=F · oversize=F,227,1,1,1,3,1,CALCULATED
118483,2023-01-03,2023-07-31,210,73.0,0.3476,2,1,1,1,2,chilled=F · oversize=F,415,1,1,1,1,1,CALCULATED
118493,2023-01-03,2023-07-31,210,168.0,0.8,2,2,1,1,3,chilled=F · oversize=F,416,1,1,1,1,1,CALCULATED
118498,2023-01-03,2023-07-31,210,438.0,2.0857,2,5,1,2,7,chilled=F · oversize=F,415,1,1,1,1,1,CALCULATED
118501,2023-01-03,2023-07-31,210,605.0,2.881,2,6,1,3,9,chilled=F · oversize=F,415,1,1,1,1,1,CALCULATED
118504,2023-01-03,2023-07-31,210,567.0,2.7,2,6,1,3,9,chilled=F · oversize=F,86,1,1,1,1,1,CALCULATED
118506,2023-01-03,2023-07-31,210,25.0,0.119,2,1,1,0,1,chilled=F · oversize=F,227,1,1,1,1,1,CALCULATED
118512,2023-01-03,2023-07-31,210,250.0,1.1905,2,3,1,1,4,chilled=T · oversize=F,227,1,1,1,1,1,CALCULATED
118513,2023-01-03,2023-07-31,210,19300.0,91.9048,2,184,1,92,276,chilled=F · oversize=F,227,1,1,1,2,1,CALCULATED
118518,2023-01-03,2023-07-31,210,11372.0,54.1524,2,109,1,54,163,chilled=F · oversize=F,292,1,1,1,1,1,CALCULATED
118520,2023-01-03,2023-07-31,210,432.0,2.0571,2,5,1,2,7,chilled=F · oversize=F,415,1,1,1,1,1,CALCULATED
118529,2023-01-03,2023-07-31,210,39.0,0.1857,2,1,1,0,1,chilled=F · oversize=F,1041,1,1,1,1,1,CALCULATED
118531,2023-01-03,2023-07-31,210,120.0,0.5714,2,2,1,0,2,chilled=F · oversize=F,415,1,1,1,1,1,CALCULATED
118532,2023-01-03,2023-07-31,210,326.0,1.5524,2,4,1,1,5,chilled=F · oversize=F,625,1,1,1,1,1,CALCULATED
118539,2023-01-03,2023-07-31,210,1210.0,5.7619,2,12,1,6,18,chilled=F · oversize=F,35,1,1,1,1,1,CALCULATED
119514,2023-01-03,2023-07-31,210,250.0,1.1905,2,3,1,1,4,chilled=F · oversize=F,129,1,1,1,1,1,CALCULATED
119516,2023-01-03,2023-07-31,210,19.0,0.0905,2,1,1,0,1,chilled=F · oversize=F,415,1,1,1,1,1,CALCULATED
119644,2023-01-03,2023-07-31,210,8797.0,41.8905,2,84,1,42,126,chilled=F · oversize=F,96,1,1,1,2,1,CALCULATED
119945,2023-01-03,2023-07-31,210,420.0,2.0,2,4,1,2,6,chilled=F · oversize=F,415,1,1,1,1,1,CALCULATED
119948,2023-01-03,2023-07-31,210,130.0,0.619,2,2,1,0,2,chilled=T · oversize=F,500,1,1,1,1,1,CALCULATED
120049,2023-01-03,2023-07-31,210,33700.0,160.4762,2,321,1,161,482,chilled=F · oversize=F,51,1,1,1,10,1,CALCULATED
120052,2023-01-03,2023-07-31,210,22713.0,108.1571,2,217,1,108,325,chilled=F · oversize=F,237,1,1,1,2,1,CALCULATED
120167,2023-01-03,2023-07-31,210,16.0,0.0762,2,1,1,0,1,chilled=F · oversize=F,227,1,1,1,1,1,CALCULATED
120184,2023-01-03,2023-07-31,210,9.0,0.0429,2,1,1,0,1,chilled=F · oversize=F,415,1,1,1,1,1,CALCULATED
