resource_id,capacity,before_load,after_load,before_normalized_load,after_normalized_load
lane:0,,0.0,0.0,0.0,0.0
lane:1,,0.0,0.0,0.0,0.0
lane:10,,0.0,0.0,0.0,0.0
lane:100,,0.0,5737.333333333332,0.0,0.2902954594435978
lane:1000,,0.0,7602.000000000002,0.0,0.3846431703503773
lane:1001,,0.0,17453.499999999996,0.0,0.883105705565681
lane:1002,,367.0,30668.0,0.018569329586765118,1.55172806475998
lane:1003,,4703.500000000001,48241.499999999985,0.23798594471757428,2.440905485721878
lane:1004,,5567.499999999998,49846.5,0.28170229557034,2.5221146791462874
lane:1005,,7172.499999999997,51826.00000000001,0.3629114889947487,2.6222726843697255
lane:1006,,34005.999999999985,83931.5,1.7206229480314288,4.24673483981356
lane:1007,,51182.00000000002,106357.99999999999,2.589687811743359,5.381462550924153
lane:1008,,73951.49999999993,130152.00000000003,3.7417705093614697,6.585382518737478
lane:1009,,102176.00000000007,155956.50000000012,5.169863269365979,7.891029018251598
lane:101,,0.0,5133.666666666666,0.0,0.2597513578254038
lane:1010,,136301.50000000015,183065.0000000002,6.896532633979478,9.262654825071282
lane:1011,,136301.50000000015,183065.0000000002,6.896532633979478,9.262654825071282
lane:1012,,45433.83333333332,61021.66666666665,2.29884421132649,3.0875516083570895
lane:1013,,45433.83333333332,61021.66666666665,2.29884421132649,3.0875516083570895
lane:1014,,45433.83333333332,61021.66666666665,2.29884421132649,3.0875516083570895
lane:1015,,0.0,0.0,0.0,0.0
lane:1016,,0.0,1381.0,0.0,0.0698753246848028
lane:1017,,3.4999999999999996,8599.000000000007,0.00017709169905634307,0.4350890057672845
lane:1018,,3.4999999999999996,8599.000000000007,0.00017709169905634307,0.4350890057672845
lane:1019,,3.4999999999999996,16288.5,0.00017709169905634307,0.8241594685940699
lane:102,,0.0,4556.333333333332,0.0,0.23053966041915744
lane:1020,,3.4999999999999996,18083.5,0.00017709169905634307,0.914982211395823
lane:1021,,3.4999999999999996,20247.500000000007,0.00017709169905634307,1.0244754790409452
lane:1022,,3.4999999999999996,22747.50000000001,0.00017709169905634307,1.1509695497954762
lane:1023,,645.4999999999999,25293.499999999996,0.032660769068819845,1.2797911114518896
lane:1024,,2317.499999999999,28309.500000000004,0.11726000358944999,1.432393558410156
lane:1025,,5360.500000000001,32068.499999999993,0.27122858651186493,1.6225900431966678
lane:1026,,5360.500000000001,32068.499999999993,0.27122858651186493,1.6225900431966678
lane:1027,,10066.499999999996,36545.499999999985,0.5093410253001934,1.8491156251038812
lane:1028,,15937.499999999993,40965.500000000015,0.8063997010601334,2.072757142197893
lane:1029,,22639.50000000002,45600.500000000015,1.1455050059388807,2.307277149376793
lane:103,,0.0,3631.1666666666674,0.0,0.18372842130193084
lane:1030,,29859.50000000001,50439.5,1.5108198822779653,2.5521190727292624
lane:1031,,29859.50000000001,50439.5,1.5108198822779653,2.5521190727292624
lane:1032,,4977.166666666667,10530.0,0.2518328289961702,0.5327930260180836
lane:1033,,4977.166666666667,10530.0,0.2518328289961702,0.5327930260180836
lane:1034,,4977.166666666667,10530.0,0.2518328289961702,0.5327930260180836
lane:1035,,0.0,0.0,0.0,0.0
lane:1036,,0.0,946.9999999999998,0.0,0.04791595400181625
lane:1037,,0.0,2007.9999999999993,0.0,0.1016000376300391
