sku,handling_unit_id,from_rack,to_rack,from,to
140001,SHELF_075,G14_9,G5_13,Z10/A02/B-G14_9/L02/S02,Z04/A04/B-G5_13/L01/S02
140005,SHELF_081,G14_7,G19_9,Z10/A02/B-G14_7/L01/S03,Z14/A01/B-G19_9/L01/S03
140015,SHELF_242,G5_7,G5_5,Z01/A04/B-G5_7/L02/S01,Z01/A04/B-G5_5/L01/S03
140016,SHELF_251,G5_8,G3_6,Z01/A04/B-G5_8/L01/S01,Z01/A02/B-G3_6/L01/S02
140021,SHELF_197,G14_7,G11_4,Z10/A02/B-G14_7/L01/S04,Z09/A02/B-G11_4/L01/S01
140078,SHELF_137,G17_8,G22_7,Z13/A02/B-G17_8/L02/S01,Z15/A02/B-G22_7/L01/S03
140079,SHELF_050,G25_15,G22_12,Z16/A02/B-G25_15/L01/S03,Z15/A02/B-G22_12/L02/S03
140082,SHELF_317,G20_9,G32_2,Z14/A02/B-G20_9/L02/S01,Z21/A08/B-G32_2/L01/S01
140084,SHELF_032,G11_8,G7_15,Z09/A02/B-G11_8/L01/S03,Z06/A01/B-G7_15/L01/S01
140087,SHELF_246,G4_15,G14_1,Z04/A03/B-G4_15/L03/S03,Z12/A02/B-G14_1/L01/S02
140089,SHELF_042,G24_14,G20_12,Z16/A01/B-G24_14/L02/S03,Z14/A02/B-G20_12/L02/S02
140397,SHELF_172,G19_9,G21_5,Z14/A01/B-G19_9/L02/S04,Z15/A01/B-G21_5/L01/S02
140800,SHELF_219,G11_8,G7_5,Z09/A02/B-G11_8/L02/S02,Z06/A01/B-G7_5/L01/S02
140839,SHELF_022,G5_12,G16_13,Z04/A04/B-G5_12/L03/S02,Z13/A01/B-G16_13/L01/S01
140881,SHELF_247,G7_12,G17_1,Z06/A01/B-G7_12/L03/S04,Z13/A02/B-G17_1/L01/S01
140965,SHELF_106,G31_14,G32_15,Z18/A02/B-G31_14/L01/S02,Z18/A03/B-G32_15/L01/S02
141084,SHELF_298,G28_13,G0_5,Z17/A02/B-G28_13/L03/S04,Z03/A01/B-G0_5/L01/S02
141276,SHELF_160,G5_7,G3_10,Z01/A04/B-G5_7/L02/S02,Z01/A02/B-G3_10/L02/S03
141277,SHELF_092,G2_14,G2_14,Z04/A01/B-G2_14/L02/S04,Z04/A01/B-G2_14/L02/S01
141922,SHELF_066,G14_7,G8_12,Z10/A02/B-G14_7/L03/S01,Z06/A02/B-G8_12/L02/S01
143024,SHELF_233,G30_15,G31_8,Z18/A01/B-G30_15/L01/S04,Z19/A02/B-G31_8/L01/S03
143381,SHELF_243,G3_13,G7_4,Z04/A02/B-G3_13/L02/S03,Z06/A01/B-G7_4/L01/S04
149303,SHELF_313,G14_8,G35_6,Z10/A02/B-G14_8/L03/S01,Z20/A01/B-G35_6/L01/S02
