sku,max_item_length,max_item_width,max_item_height,max_item_weight,chilled,tablet,flammable
101215,0.13,0.025,0.035,0.02176,false,true,false
101218,0.034,0.03,0.078,0.01522,false,true,false
101219,0.035,0.119,0.027,0.075,false,true,false
101221,0.157,0.02,0.047,0.02824,false,true,false
101233,0.105,0.023,0.023,0.015,false,true,false
101234,0.181,0.035,0.048,0.05818,false,true,false
101235,0.092,0.025,0.055,0.0242,true,true,false
101244,0.125,0.023,0.033,0.01815,false,true,false
101254,0.051,0.114,0.07,0.02,false,false,false
101256,0.071,0.094,0.06,0.05488,false,true,false
101265,0.028,0.07,0.032,0.02,false,false,false
101266,0.03,0.02,0.08,0.015,true,true,false
101271,0.058,0.098,0.059,0.13,false,true,false
101273,0.028,0.028,0.072,0.015,false,false,false
101275,0.035,0.077,0.033,0.025,false,true,false
101276,0.047,0.067,0.05,0.03012,false,true,false
101277,0.16,0.105,0.045,0.13,false,false,false
101279,0.047,0.067,0.05,0.03012,false,false,false
101280,0.053,0.11,0.037,0.025,true,true,false
101281,0.047,0.075,0.032,0.055,false,true,false
101282,0.039,0.061,0.032,0.041,false,false,false
101285,0.059,0.126,0.067,0.03,false,true,false
101288,0.147,0.015,0.045,0.01898,true,true,false
101289,0.092,0.02,0.065,0.02288,false,false,false
101290,0.093,0.02,0.065,0.02313,false,false,false
101291,0.065,0.091,0.025,0.025,false,true,false
101292,0.09,0.02,0.065,0.02239,false,true,false
101293,0.065,0.092,0.025,0.021,false,false,true
101295,0.145,0.02,0.055,0.03052,false,true,false
101296,0.068,0.091,0.02,0.045,false,false,false
101297,0.056,0.153,0.028,0.235,false,true,false
101299,0.046,0.176,0.103,0.035,false,true,false
101301,0.106,0.02,0.046,0.01866,false,false,false
101302,0.04,0.042,0.071,0.025,false,false,false
101303,0.043,0.043,0.065,0.02299,false,true,false
101305,0.13,0.024,0.03,0.01791,false,false,false
101307,0.135,0.022,0.055,0.03125,false,true,false
101311,0.118,0.023,0.04,0.02077,true,true,false
