robot,handling_service_seconds,translation_seconds,rotation_seconds,safety_blocking_seconds,reservation_path_wait_seconds,other_active_wait_seconds,idle_seconds,empty_distance_m,loaded_distance_m,busy_seconds,utilization
AMR_01,1447.9999999992308,11286.299999976009,1471.2999999992096,0,6391.700000014487,19.750000000000146,1323.3999999993441,3637.9999999981833,8803.999999994816,20617.049999988936,0.9396821851947962
AMR_02,1466.0999999992143,11113.199999978528,1394.2999999992796,0,6201.650000013796,19.95000000000015,1745.2499999989604,3639.99999999829,8635.999999994552,20195.19999999082,0.9204551410821386
AMR_03,1429.8999999992473,11583.69999997168,1452.3999999992268,0,5970.9500000129565,19.40000000000014,1484.099999999198,4233.999999997341,8639.999999994663,20456.34999998311,0.9323578139988026
AMR_04,1411.7999999992637,10761.499999983645,1446.9499999992317,0,6597.700000015237,19.100000000000136,1703.3999999989985,3831.999999998049,7819.999999992454,20237.049999997376,0.9223625768916547
AMR_05,1339.3999999993296,11074.54999997909,1378.1999999992943,0,6599.450000015243,18.100000000000122,1530.7499999991555,3787.9999999980037,8499.99999999339,20409.699999992958,0.9302316041904106
AMR_06,1466.0999999992143,11600.649999971434,1446.599999999232,0,5963.100000012928,19.900000000000148,1444.0999999992343,3851.999999997819,9039.999999995729,20496.349999982813,0.9341809306623181
AMR_07,1520.399999999165,11551.999999972142,1484.7499999991974,0,6005.250000013081,20.500000000000156,1357.549999999313,3553.9999999983534,9311.999999998821,20582.899999983587,0.9381256993430644
AMR_08,1411.7999999992637,11286.749999976002,1425.749999999251,0,5871.700000012595,19.100000000000136,1925.3499999987966,3971.9999999975853,8575.99999999346,20015.099999987113,0.9122465583044299
AMR_09,1393.6999999992802,11004.549999980109,1443.2499999992351,0,6582.25000001518,19.000000000000135,1497.6999999991856,3301.9999999987253,8767.999999994676,20442.749999993805,0.9317379543336901
AMR_10,1466.0999999992143,11008.899999980045,1463.3499999992168,0,6556.350000015086,19.750000000000146,1425.9999999992508,3481.999999998616,8487.99999999325,20514.44999999356,0.9350058909530549
AMR_11,1375.5999999992966,10630.59999998555,1412.7499999992629,0,6656.100000015449,18.60000000000013,1846.799999998868,3679.9999999982774,7839.999999992411,20093.649999999558,0.9158267036530023
AMR_12,1447.9999999992308,10797.249999983125,1454.6999999992247,0,6033.000000013182,19.750000000000146,2187.7499999991933,3663.9999999981683,8091.999999992237,19752.699999994762,0.9002869129920279
AMR_13,1393.6999999992802,11284.549999976034,1475.5499999992057,0,6386.3000000144675,19.000000000000135,1381.3499999992914,4081.9999999977085,8419.999999992888,20559.09999998899,0.9370409449285109
AMR_14,1411.7999999992637,11596.749999971491,1473.6999999992074,0,6220.900000013866,18.900000000000134,1218.3999999994396,4243.999999997488,8659.999999994667,20722.04999998383,0.9444678664363272
AMR_15,1466.0999999992143,11352.799999975041,1460.3999999992195,0,6251.750000013978,19.750000000000146,1389.6499999992839,3339.999999998724,9091.999999996133,20550.799999987452,0.9366626482207585
AMR_16,1429.8999999992473,11385.999999974558,1409.1499999992661,0,6329.9500000142625,19.500000000000142,1365.9499999993054,3727.999999998023,8971.999999995654,20574.499999987333,0.937742844843894
AMR_17,1447.9999999992308,11644.849999970791,1521.6499999991638,0,5935.900000012829,19.800000000000146,1370.2499999993015,4469.999999996818,8387.999999992582,20570.199999982015,0.9375468598023222
AMR_18,1357.499999999313,10990.64999998031,1354.5999999993157,0,6149.9000000136075,18.350000000000126,2069.449999998763,3393.9999999985675,8763.999999994703,19870.999999992546,0.9056787805243142
AMR_19,1429.8999999992473,11016.19999997994,1458.3999999992213,0,6426.1500000146125,19.150000000000137,1590.649999999101,3323.9999999988013,8707.999999994527,20349.79999999302,0.9275014869867788
AMR_20,1447.9999999992308,11141.89999997811,1448.5499999992303,0,6077.900000013346,19.750000000000146,1804.3499999989067,4005.999999997567,8207.999999991864,20136.099999989914,0.917761486211733
AMR_21,1447.9999999992308,11039.099999979606,1489.3999999991931,0,6237.450000013926,19.30000000000014,1707.199999998995,3827.9999999980173,8239.999999991935,20233.249999991956,0.9221893808083724
AMR_22,1375.5999999992966,10871.599999982043,1431.5499999992458,0,6564.1500000151145,18.60000000000013,1678.9499999990207,3295.9999999986667,8591.999999993634,20261.4999999957,0.9234769569521604
AMR_23,1429.8999999992473,11132.94999997824,1429.2999999992478,0,6272.750000014054,19.35000000000014,1656.1999999990414,3393.9999999986935,8907.999999995112,20284.24999999079,0.9245138545543188
AMR_24,1484.1999999991979,11194.84999997734,1486.5999999991957,0,6226.450000013886,20.10000000000015,1528.2499999991578,3267.9999999988604,9027.999999996244,20412.199999989618,0.9303455489817289
AMR_25,1429.8999999992473,11178.29999997758,1406.5999999992684,0,6359.45000001437,19.500000000000142,1546.699999999141,3975.999999997596,8395.999999992915,20393.749999990465,0.9295046364207148
AMR_26,1520.399999999165,11261.199999976374,1459.3499999992205,0,6355.450000014355,20.500000000000156,1323.549999999344,3751.999999998189,8551.999999993293,20616.899999989113,0.9396753485073159
AMR_27,1484.1999999991979,11363.649999974883,1485.4499999991967,0,6293.200000014129,20.10000000000015,1293.849999999371,4049.9999999975385,8443.999999993423,20646.599999987404,0.9410290126299085
AMR_28,1466.0999999992143,11074.54999997909,1475.6499999992056,0,6304.250000014169,20.10000000000015,1599.7999999990927,3819.999999997972,8395.999999992517,20340.649999991678,0.9270844490499353
AMR_29,1429.8999999992473,11057.549999979337,1387.0999999992862,0,6140.0000000135715,19.25000000000014,1906.6499999988137,3163.999999998987,9063.999999996206,20033.79999999144,0.913098865344827
AMR_30,1393.6999999992802,11065.199999979226,1476.249999999205,0,6634.150000015369,18.950000000000134,1352.199999999318,3799.9999999980096,8339.999999992599,20588.24999999308,0.9383695411972441
AMR_31,1339.3999999993296,10953.59999998085,1396.2499999992779,0,6624.150000015333,18.150000000000123,1608.8999999990845,3735.9999999979577,8451.999999993497,20331.549999994793,0.9266696900091244
AMR_32,1538.4999999991485,11467.59999997337,1451.9999999992272,0,6322.700000014236,20.950000000000163,1138.699999999512,3311.999999998804,9359.999999999016,20801.749999985983,0.948100426388507
AMR_33,1502.2999999991814,10784.849999983306,1487.349999999195,0,6443.800000014677,20.300000000000153,1701.849999999,3757.999999997952,7979.999999992137,20238.599999996357,0.92243322266232
AMR_34,1357.499999999313,11135.299999978206,1396.2499999992779,0,6343.300000014311,18.500000000000128,1689.599999999011,3611.9999999982865,8847.999999995556,20250.849999991107,0.9229915521402865
AMR_35,1411.7999999992637,10778.899999983392,1387.6499999992857,0,6596.100000015231,19.100000000000136,1746.899999998959,3803.9999999981364,8023.99999999177,20193.549999997173,0.9203799375200575
AMR_36,1538.4999999991485,11670.249999970421,1518.049999999167,0,5819.950000012407,20.75000000000016,1372.949999999299,3863.9999999979855,9071.999999997231,20567.499999981144,0.9374237994274944
AMR_37,1466.0999999992143,10995.449999980241,1404.0999999992707,0,6440.750000014666,19.800000000000146,1614.2499999990796,3165.9999999989714,8879.999999996011,20326.19999999339,0.9264258481553135
AMR_38,1538.4999999991485,11347.949999975111,1529.3999999991568,0,6019.400000013133,21.000000000000163,1484.1999999991979,3705.9999999981173,8667.999999994634,20456.24999998655,0.9323532562073006
AMR_39,1429.8999999992473,11447.04999997367,1440.7499999992374,0,6336.450000014286,19.100000000000136,1267.1999999993952,3331.9999999986776,9303.999999998125,20673.249999986438,0.9422436641069406
AMR_40,1447.9999999992308,11625.999999971065,1460.4499999992195,0,5709.600000012006,19.700000000000145,1676.6999999990228,3907.9999999978377,9059.99999999649,20263.749999981523,0.9235795072638378
