workstation,service_seconds,utilization,completed_lines,completed_rack_jobs
WS_2_20,3420.000000003676,0.22570979791857215,678,342
WS_8_20,3320.0000000033124,0.21911009622502972,604,332
WS_13_20,3700.000000004695,0.24418896266049092,735,370
WS_19_20,2620.000000000766,0.1729121843702328,463,262
WS_25_20,2830.0000000015298,0.18677155792667188,438,283
WS_30_20,3320.0000000033124,0.21911009622502972,553,332
