workstation,service_seconds,utilization,completed_lines,completed_rack_jobs
WS_2_20,3600.000000004331,0.223714341644446,678,360
WS_8_20,3340.000000003385,0.20755719474786333,604,334
WS_13_20,3730.000000004804,0.23179291509273733,735,373
WS_19_20,2720.0000000011296,0.1690286136867816,463,272
WS_25_20,2820.0000000014934,0.17524290095469802,438,282
WS_30_20,3370.0000000034943,0.20942148092823826,553,337
