rack_id,abc_present,abc_skus,abc_sku_count,abc_load_count,abc_weight_kg,abc_visit_load,abc_occupied_slots,affinity_present,affinity_skus,affinity_sku_count,affinity_load_count,affinity_weight_kg,affinity_visit_load,affinity_occupied_slots,ctbsa_present,ctbsa_skus,ctbsa_sku_count,ctbsa_load_count,ctbsa_weight_kg,ctbsa_visit_load,ctbsa_occupied_slots,affinity_sku_set_changed_vs_abc,affinity_load_set_changed_vs_abc,ctbsa_sku_set_changed_vs_abc,ctbsa_load_set_changed_vs_abc
G22_15,True,101012|101026|101117|101146|101187|101335|110252|110433|110498|111272|125639|132279,12,12,53.195699999999995,6432.0,12,True,101102|101219|107106|107381|110439|110525|111223|112283|112307|112430|123034|214618,12,12,53.11707,4181.0,12,True,101293|110150|110204|110381|110588|111212|111391|112369|123763|132437|139112,11,11,84.81433999999999,4003.0,11,True,True,True,True
G22_2,True,131889|132437|139112,3,12,100.21632000000002,74.0,12,True,111391|131889|132437|139112,4,12,111.61224000000003,111.0,12,True,101289|104505|110393|110461|112277|112329|132437|139112,8,9,37.77696,1568.0,9,True,True,True,True
G22_4,True,110150|110278|110393|110475|111391|121875|131889|132437|132450|139112,10,12,133.65408000000002,274.0,12,True,110292|110328|110363|110379|110381|110485|111897|112357|112432|120049|131889|139112,12,12,130.41178000000002,517.0,12,True,110178|110317|110328|110342|110710|111233|112247|117140|119644|135181,10,10,91.85888000000001,1937.0,10,True,True,True,True
G22_5,True,109534|110172|110328|110379|110381|111897|112432|131889|132437|132450|134029|139112,12,12,131.57812,463.0,12,True,110150|110161|110178|110278|110342|110393|110432|110492|112208|112394|115988|121875,12,12,143.89332000000002,991.0,12,True,101109|110150|110225|110298|110393|131889|132437|139112,8,8,71.30558,2123.0,8,True,True,True,True
G22_6,True,101164|109534|110157|110172|110368|110379|110381|110404|110710|111321|112247|131889,12,12,138.17076,439.0,12,True,109534|110172|110404|110710|111321|111376|111795|112247|132437|132450|133947|134029,12,12,140.86046,842.0,12,True,110326|110379|110393|110603|111376|111391|120449|121930,8,8,65.38126999999999,2247.0,8,True,True,True,True
G22_7,True,110146|110283|110286|110301|110306|110362|110436|110469|112302|112380|112394|121875,12,12,128.76869,3221.0,12,True,101329|101330|110231|110404|110475|111321|111376|111795|124704|132437|132450|134029,12,12,142.13816,1650.0,12,True,101065|107258|110174|110231|111391|120257|131889|132276|132437|135531,10,11,81.88553,2287.0,11,True,True,True,True
G22_8,True,101135|110390|110450|110512|111237|111238|111261|123310|124208|126832|134027|136923,12,12,123.97701999999998,4662.0,12,True,101164|109534|110157|110172|110368|110379|110381|110710|112247|112357|117140|133947,12,12,138.45834000000002,499.0,12,True,101075|109989|110176|110231|111391|112227|112404|132280|132437|140397,10,11,78.29768,2586.0,11,True,True,True,True
G22_9,True,101126|107435|107448|110407|110491|112023|113165|115997|117402|121814|132607|134484,12,12,12.102510000000002,566.0,12,True,101126|107110|107171|107321|112398|118468|118539|120359|121874|124234|125121|127468,12,12,9.53293,402.0,12,True,101183|110292|110347|110393|110475|110504|111391|123034|131889|132437|132450,11,11,108.34776000000002,2655.0,11,True,True,True,True
G24_12,True,101154|101301|107411|110239|110242|110558|112315|124476|131531|131980|133308|138499,12,12,17.6562,2851.0,12,True,101066|107266|107405|110197|111271|112072|112216|112247|112305|112330|131642|140087,12,12,43.767399999999995,2641.0,12,True,101173|104398|110134|110148|110164|110278|110475|112068|131889|132437,10,12,100.2285,2925.0,12,True,True,True,True
G24_13,True,101067|101184|101254|101265|101328|107168|110338|111265|112008|112357|117025|134546,12,12,51.30228,3454.0,12,True,107226|107258|110190|110192|110523|110847|120272|125181|132610|133308|135096|139195,12,12,50.99142,2753.0,12,True,101218|107251|110233|110259|110278|110393|111228|111265|111276|113119,10,11,89.66970999999998,3374.0,11,True,True,True,True
G24_14,True,101074|101198|104356|110204|110219|110319|112333|114899|122980|134599|137330|140089,12,12,40.1914,4280.0,12,True,101096|101336|110311|110341|110527|110607|111229|111356|111366|112022|112445|129719,12,12,17.488699999999998,3364.0,12,True,101043|110166|110440|110469|112294|112380|124184|131889|132437|132495,10,11,78.39714000000001,3306.0,11,True,True,True,True
G24_15,True,101060|101202|107276|110137|110142|110325|110357|110528|111239|124008|126834|138355,12,12,49.36807,5460.0,12,True,101303|110453|112211|112364|113218|117422|133306|135012|138351|138368|138386|139225,12,12,20.11053,3259.0,12,True,105271|107227|110324|110432|110475|112334|114748|120052|126308|132450,10,10,70.28898999999998,3728.0,10,True,True,True,True
G24_4,True,111391|131889|132437|139112,4,12,111.61224000000003,111.0,12,True,111391|131889|132437|139112,4,12,111.61224000000003,113.0,12,True,101330|110363|110475|110598|111315|112394|112432|122631|132437|134029,10,10,84.83952,1657.0,10,False,True,True,True
G24_5,True,110150|110278|110393|110475|111391|131889|132437|132450|139112,9,12,122.47408000000001,216.0,12,True,110150|110161|110178|110278|110342|110393|110485|110492|111391|112208|115988|121875,12,12,144.33332,769.0,12,True,101110|107294|110150|110185|110492|111261|111897|139112|139166|150452,10,10,59.0811,1937.0,10,True,True,True,True
G24_6,True,101330|110150|110161|110231|110278|110299|110342|110393|110475|111391|121875|139112,12,12,132.51672,765.0,12,True,110150|110328|110342|110363|110379|110485|111897|112357|112432|120049|131889|139112,12,12,131.88678000000002,458.0,12,True,107226|110157|110161|110221|110404|111363|112432|131889|132437|136923|137330,11,12,126.01854,2026.0,12,True,True,True,True
G24_7,True,101329|101330|110231|110475|111376|111795|117140|124704|132437|132450|133947|134029,12,12,142.84574,1672.0,12,True,110161|110178|110221|110278|110299|110393|110492|111391|112208|115988|121875|136923,12,12,143.36677,1261.0,12,True,101180|101211|110178|111897|112344|131889|132437|132610|133947|134810,10,11,84.143,2241.0,11,True,True,True,True
G25_12,True,101256|107129|107292|110147|110250|110259|110392|110478|113203|113232|115063|123252,12,12,33.85090999999999,2421.0,12,True,107283|110175|110404|110529|112281|112282|113144|115752|123130|135026|136957|140001,12,12,17.48599,1419.0,12,True,107403|110168|110269|111391|115988|121875|125570|125583|132437|136197,10,11,101.47287,3015.0,11,True,True,True,True
G25_13,True,101045|107389|111229|111837|112019|112061|112351|129719|133306|135744|138368|138386,12,12,30.67982,3664.0,12,True,101167|101301|110209|110290|110307|110423|111312|112006|112340|112395|121570|131531,12,12,40.21352,2713.0,12,True,101146|110393|111276|112331|124008|132276|132277|132437|139112,9,10,70.37956000000001,3246.0,10,True,True,True,True
G25_14,True,101153|107255|107268|110136|110439|110536|112319|122631|124183|127626|131663|132276,12,12,29.854,4336.0,12,True,101128|101154|110157|110196|110517|111383|112081|122556|131980|139021|139150|143024,12,12,38.41006,2564.0,12,True,101033|107413|110513|110530|121567|124704|125617|139112,8,9,41.440000000000005,3383.0,9,True,True,True,True
G25_15,True,101183|101221|101297|101337|110169|110313|110333|110588|112068|112083|112361|140079,12,12,48.76012,5304.0,12,True,101030|101090|107573|110180|110239|110242|110370|110377|110435|110710|112217|127717,12,12,48.270900000000005,2528.0,12,True,110298|110522|111391|113122|120049|120382|120448|122686|124402|125549|131889|134639,12,12,96.35248000000001,3710.0,12,True,True,True,True
G25_2,True,132437,1,12,148.72896,129.0,12,True,131889|132437,2,12,148.55488000000003,120.0,12,True,110278|110328|111237|111376|125701|132437|136923|139112,8,9,70.9988,1458.0,9,True,True,True,True
G25_4,True,111391|131889|132437|139112,4,12,111.61224000000003,111.0,12,True,111391|131889|132437|139112,4,12,111.61224000000003,112.0,12,True,101330|109534|110132|110161|110172|110393|110710|125535|132437|132625|149467,11,12,112.3798,1686.0,12,False,True,True,True
G25_5,True,110150|110278|110393|110475|111391|131889|132437|132450|139112,9,12,121.73408000000002,214.0,12,True,101330|110150|110161|110278|110299|110342|110393|110475|110492|111391|115988|121875,12,12,144.38008,759.0,12,True,101164|101325|110362|110379|115988|131889|132437|134599|138351,9,10,87.24954000000001,1806.0,10,True,True,True,True
G25_6,True,101330|110172|110231|110379|110475|111391|111897|112432|121875|131889|132437|132450,12,12,143.72446000000002,526.0,12,True,109534|110172|110231|110379|110381|111321|111897|112432|131889|132437|132450|134029,12,12,142.81302,572.0,12,True,101099|104356|107342|107443|110475|111999|113165|131889|132437|132636|139225,11,11,52.61144999999999,1980.0,11,True,True,True,True
G25_7,True,101329|109534|110172|110368|110404|110710|111321|111795|132437|132450|133947|134029,12,12,141.32819999999998,847.0,12,True,110150|110161|110278|110299|110328|110342|110393|110492|111391|115988|121875|139112,12,12,132.54818,625.0,12,True,101337|107311|110150|110368|110379|112010|122678|131889|139112,9,9,68.04844,2246.0,9,True,True,True,True
G26_2,True,132437,1,12,148.72896,129.0,12,True,132437,1,12,148.72896,128.0,12,True,107254|110146|110157|110393|110485|119516|131889|132437,8,9,88.07604,1377.0,9,False,True,True,True
G27_10,True,110146|110168|110179|110193|110301|111362|112302|112380|121875|131216|131653|132277,12,12,122.34368,3683.0,12,True,109534|110172|110328|110379|110381|111897|112432|131889|132437|132450|134029|139112,12,12,131.57812,459.0,12,True,101112|107225|107264|110229|110589|110604|111373|111897,8,8,36.93824,2208.0,8,True,True,True,True
G27_12,True,101233|107283|107314|110529|110535|111224|112046|112259|112281|112297|134122|138387,12,12,3.91973,1421.0,12,True,107154|107199|107244|107451|110300|111289|112001|112240|118504|118532|138387|140839,12,12,6.30312,1212.0,12,True,101285|110278|110617|111303|117431|117442|129530|134029|138904|139148,10,10,51.11299999999999,2750.0,10,True,True,True,True
G27_13,True,107146|107165|107174|107226|107342|110158|110551|111361|112021|112365|113159|115785,12,12,26.60716,2384.0,12,True,101271|104398|110474|110567|110612|112297|115120|117011|131591|136921|138388|149346,12,12,12.3477,1376.0,12,True,101200|101328|109534|110130|110193|110393|126833|131530|132437|137523,10,10,90.69876,2927.0,10,True,True,True,True
